"t","Centre","Outer","LinearHeat"
"500",311.34,304.939,0.579327592400083
"500",358.234,324.182,2.89663796200042
"500",420.607,347.264,5.79327592400083
"500",559.732,391.029,11.5865518480017
"500",721.204,432.525,17.3798277720025
"500",908.853,472.449,23.1731036960033
"500",1126.41,511.238,28.9663796200042
"500",1376.84,549.183,34.759655544005
"500",1660.57,586.495,40.5529314680058
"500",1971.03,623.326,46.3462073920067
"500",2268.83,659.797,52.1394833160075
"500",2532.1,695.998,57.9327592400083
"500",2758.91,732.014,63.7260351640092
"500",2951.05,767.895,69.51931108801
