"t","CladdingGap","LinearHeat"
10,0.116607146436228,69.51931108801
100,0.0142052842280609,69.51931108801
110,0.0317258884824366,69.51931108801
120,0.0325991901739906,69.51931108801
130,0.0196806529363229,69.51931108801
140,0.0253165973227054,69.51931108801
150,0.0366864620807186,69.51931108801
160,0.0541619728222667,69.51931108801
170,0.0646344683586088,69.51931108801
180,0.0727888920097017,69.51931108801
190,0.071834105983116,69.51931108801
20,0.0766130099917766,69.51931108801
200,0.0706397279054789,69.51931108801
30,0.0483480134028277,69.51931108801
40,0.0296709706615741,69.51931108801
50,0.019670002541942,69.51931108801
60,0.0122037903947912,69.51931108801
70,0.0272332682577759,69.51931108801
80,0.0368019700559629,69.51931108801
90,0.0267228460310648,69.51931108801
